"","longitude","latitude","begin","end","ID"
"99",-120.6276,34.72602,"2001-02-15","2001-05-11","doi:10.6085/AA/PURXXX_015ADCP015R00_20010215.50.2"
"100",-119.69602,34.0313,"2007-09-07","2007-11-28","doi:10.6085/AA/PELXXX_015ADCP015R00_20070907.50.6"
"101",-121.8996,36.6214,"2000-09-21","2000-11-21","doi:10.6085/AA/HMS001_020ADCP019R00_20000920.50.1"
"102",-119.69602,34.0313,"2003-05-12","2003-07-22","doi:10.6085/AA/PELXXX_015ADCP015R00_20030512.50.5"
"103",-121.8996,36.6214,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.1"
"104",-124.126832,44.2521,"2001-05-05","2001-07-07","doi:10.6085/AA/SH15CX_015ADCP014R00_20010505.50.2"
"105",-119.69602,34.0313,"2004-07-13","2004-10-08","doi:10.6085/AA/PELXXX_015ADCP015R00_20040713.50.6"
"106",-119.69602,34.0313,"2008-03-11","2008-06-16","doi:10.6085/AA/PELXXX_015ADCP015R00_20080311.50.6"
"107",-120.4871,34.47344,"2002-01-17","2002-04-02","doi:10.6085/AA/JALXXX_015ADCP015R00_20020117.50.4"
"108",-120.12842,33.89511,"2005-04-21","2005-07-16","doi:10.6085/AA/SRSXXX_015ADCP015R00_20050421.50.9"
"109",-120.6276,34.72602,"2007-11-05","2008-02-19","doi:10.6085/AA/PURXXX_015ADCP015R00_20071105.50.1"
"110",-120.6276,34.72602,"2006-12-07","2007-03-05","doi:10.6085/AA/PURXXX_015ADCP015R00_20061207.50.2"
"111",-124.100933,44.4991,"2005-06-22","2005-08-12","doi:10.6085/AA/SR15CX_015ADCP014R00_20050622.50.3"
"112",-122.08045,36.943421,"2002-04-16","2002-07-08","doi:10.6085/AA/TPT001_018ADCP018R00_20020416.50.4"
"113",-122.08045,36.943421,"2003-04-27","2003-07-23","doi:10.6085/AA/TPT001_018ADCP018R00_20030427.50.3"
"114",-121.9448,36.558,"2005-09-28","2005-12-29","doi:10.6085/AA/SWC001_022ADCP021R00_20050928.50.2"
"115",-121.9448,36.558,"2000-08-16","2000-09-21","doi:10.6085/AA/SWC001_022ADCP021R00_20000815.50.3"
"116",-124.057004,44.8589,"2003-05-20","2003-07-15","doi:10.6085/AA/LB15CX_015ADCP014R00_20030520.50.2"
"117",-120.48605,34.47385,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.1"
"118",-124.120552,44.32,"2005-06-08","2005-06-30","doi:10.6085/AA/YB15CX_015ADCP014R00_20050608.50.4"
"119",-119.84111,34.06683,"2007-03-12","2007-05-23","doi:10.6085/AA/PROXXX_015ADCP015R00_20070312.50.4"
"120",-121.9448,36.558,"2001-09-05","2001-11-30","doi:10.6085/AA/SWC001_022ADCP021R00_20010831.50.2"
"121",-119.55941,34.05559,"2007-11-27","2008-03-05","doi:10.6085/AA/SCPXXX_015ADCP015R00_20071127.50.1"
"122",-120.63583,34.86919,"2005-02-26","2005-05-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20050226.50.2"
"123",-120.6276,34.72602,"2008-02-19","2008-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20080219.50.2"
"124",-124.102737,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.4"
"125",-119.69665,34.03065,"2003-01-28","2003-04-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20030128.50.2"
"126",-122.15845,36.972121,"2006-03-08","2006-06-01","doi:10.6085/AA/SHB001_021ADCP020R00_20060308.50.4"
"127",-121.898647,36.62185,"2001-12-06","2002-03-04","doi:10.6085/AA/HMS001_020ADCP019R00_20011206.50.2"
"128",-119.93203,34.42403,"2000-09-01","2000-11-14","doi:10.6085/AA/ELLXXX_015ADCP015R00_20000901.50.4"
"129",-121.9448,36.558,"2001-11-30","2002-02-12","doi:10.6085/AA/SWC001_022ADCP021R00_20011129.50.3"
"130",-121.9448,36.5589,"2001-04-16","2001-06-21","doi:10.6085/AA/SWC001_022ADCP021R00_20010416.50.1"
"131",-119.69665,34.03065,"2002-07-09","2002-10-03","doi:10.6085/AA/PELXXX_015ADCP015R00_20020709.50.3"
"132",-122.08045,36.943421,"2003-04-27","2003-07-23","doi:10.6085/AA/TPT001_018ADCP018R00_20030427.50.4"
"133",-122.08045,36.943421,"2009-08-12","2009-11-10","doi:10.6085/AA/TPT001_018ADCP018R00_20090812.50.2"
"134",-119.69602,34.0313,"2004-04-02","2004-07-02","doi:10.6085/AA/PELXXX_015ADCP015R00_20040402.50.4"
"135",-121.898647,36.62185,"2006-06-12","2006-08-30","doi:10.6085/AA/HMS001_020ADCP019R00_20060612.50.3"
"136",-121.9448,36.5589,"2000-06-17","2000-07-18","doi:10.6085/AA/SWC001_022ADCP021R00_20000617.50.1"
"137",-122.15845,36.972121,"2005-06-25","2005-09-21","doi:10.6085/AA/SHB001_021ADCP020R00_20050625.50.3"
"138",-120.4871,34.47344,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.3"
"139",-121.9448,36.558,"2004-04-11","2004-07-09","doi:10.6085/AA/SWC001_022ADCP021R00_20040409.50.2"
"140",-121.8996,36.6214,"2004-07-13","2004-10-09","doi:10.6085/AA/HMS001_020ADCP019R00_20040713.50.1"
"141",-120.6268,34.726483,"1999-09-04","1999-11-10","doi:10.6085/AA/PURXXX_015ADCP015R00_19990904.50.1"
